Date,Open,High,Low,Close,Adj Close,Volume
2020-03-20,62.299999,65.680000,57.910000,58.029999,53.439445,28420600
2020-03-23,57.230000,57.439999,54.000000,56.549999,52.076523,24905800
2020-03-24,62.610001,65.160004,61.000000,64.879997,59.747578,28286200
2020-03-25,66.830002,69.639999,63.490002,65.809998,60.604012,22977200
2020-03-26,66.709999,71.580002,66.250000,69.900002,64.370461,20997500
2020-03-27,66.680000,68.250000,64.820000,66.339996,61.092068,18950500
2020-03-30,66.559998,68.220001,64.580002,67.860001,62.491859,14199700
2020-03-31,67.180000,68.320000,65.309998,65.739998,60.539536,20109800
2020-04-01,63.000000,64.760002,61.580002,62.619999,57.666355,12880400
2020-04-02,65.750000,68.699997,62.910000,65.000000,59.858078,18175000
2020-04-03,64.470001,64.750000,60.900002,63.049999,58.062340,14676500
2020-04-06,66.269997,68.339996,64.410004,67.790001,62.427387,18010800
2020-04-07,71.570000,72.480003,68.330002,68.709999,63.274590,13799400
2020-04-08,69.580002,71.919998,68.540001,71.570000,65.908356,10417600
2020-04-09,71.199997,74.260002,70.139999,73.879997,68.035606,19748100
2020-04-13,73.519997,73.599998,70.349998,71.760002,66.083336,11191800
2020-04-14,73.690002,74.330002,72.660004,73.669998,67.842224,10912000
2020-04-15,72.010002,73.180000,70.709999,72.550003,66.810852,10642500
2020-04-16,73.110001,73.760002,71.349998,73.510002,67.694885,11946800
2020-04-17,76.620003,77.389999,74.970001,77.099998,71.000900,14268400
2020-04-20,76.019997,76.980003,75.080002,75.320000,69.361702,9684700
2020-04-21,73.400002,73.959999,71.739998,72.720001,66.967384,10345800
2020-04-22,74.550003,78.059998,74.430000,77.449997,71.323212,11347000
2020-04-23,77.330002,77.669998,74.260002,75.150002,69.205154,15513400
2020-04-24,75.750000,76.029999,74.209999,75.580002,69.601151,8456000
2020-04-27,76.680000,78.040001,76.540001,77.739998,71.590279,8258500
2020-04-28,78.669998,79.610001,76.959999,78.690002,72.465134,12801400
2020-04-29,78.180000,78.750000,76.720001,76.860001,70.779877,24575500
2020-04-30,76.830002,77.639999,75.190002,76.730003,70.660164,15186000
2020-05-01,74.900002,75.879997,73.209999,73.790001,67.952728,11216700
2020-05-04,72.580002,72.620003,71.260002,71.889999,66.203026,12921800
2020-05-05,74.959999,75.080002,72.889999,72.900002,67.133133,12976000
2020-05-06,73.769997,74.849998,72.860001,72.959999,67.188393,12740900
2020-05-07,73.809998,76.029999,73.370003,76.000000,70.383438,13360500
2020-05-08,77.250000,77.930000,75.760002,77.870003,72.115234,11917200
2020-05-11,76.620003,77.180000,75.800003,75.870003,70.263046,9004500
2020-05-12,76.000000,76.730003,74.339996,74.349998,68.855370,8549900
2020-05-13,74.459999,75.750000,72.919998,73.620003,68.179337,11532700
2020-05-14,72.320000,74.290001,70.650002,74.190002,68.707199,11932300
2020-05-15,72.809998,74.639999,72.669998,74.160004,68.679420,9489100
2020-05-18,76.860001,77.500000,76.199997,76.230003,70.596436,8903200
2020-05-19,76.400002,77.220001,75.760002,75.860001,70.253777,6484900
2020-05-20,77.230003,77.839996,76.519997,77.760002,72.013367,7790500
2020-05-21,78.599998,79.379997,77.889999,78.050003,72.281952,10312600
2020-05-22,77.900002,78.050003,76.519997,77.620003,71.883728,7653300
2020-05-26,79.599998,79.919998,77.580002,77.760002,72.013367,8422200
2020-05-27,78.980003,78.980003,77.389999,78.599998,72.791283,8245300
2020-05-28,78.639999,80.059998,77.930000,78.540001,72.735725,8331400
2020-05-29,78.620003,78.639999,77.260002,77.989998,72.226372,10043600
2020-06-01,77.660004,78.650002,76.769997,78.320000,72.531982,7922000
2020-06-02,77.970001,78.260002,76.790001,77.779999,72.031898,9521000
2020-06-03,78.449997,79.949997,78.300003,79.580002,73.698868,9956700
2020-06-04,79.309998,80.169998,78.470001,78.739998,72.920914,7667600
2020-06-05,80.330002,82.330002,79.970001,82.139999,76.069687,12030800
2020-06-08,83.080002,83.620003,82.180000,83.559998,77.384727,10229600
2020-06-09,82.620003,83.220001,81.760002,82.370003,76.282677,7999800
2020-06-10,79.879997,80.029999,78.199997,79.010002,73.170990,19683800
2020-06-11,75.750000,76.790001,72.150002,72.570000,67.206917,26422200
2020-06-12,75.000000,76.720001,73.809998,76.379997,70.735336,18529800
2020-06-15,74.300003,77.910004,74.080002,76.959999,71.272484,14644700
2020-06-16,78.790001,78.940002,76.389999,77.839996,72.087463,10890100
2020-06-17,78.070000,78.290001,76.680000,77.099998,71.402145,6906700
2020-06-18,76.720001,76.790001,75.800003,76.309998,70.670517,8486000
2020-06-19,77.029999,77.379997,74.879997,75.400002,69.827774,12538600
